name_info,name,info,time,address
Dome_of_the_Rock_Jerusalem_Israel,Dome of the Rock,"바위의 돔는 이슬람교의 성지이며 예루살렘의 성전산 위에 있는 랜드마크이다. 우마이야 왕조의 칼리프인 아브드 알마리크의 명령에 따라 유대인들의 성전이 있던 자리에 691년에 완공되었다. 이후 1015년에 한번 무너져 내렸고, 1022년과 1023년 사이에 곧바로 재건되었다.",정보가 없습니다,Jerusalem
Eiffel_Tower_Paris_France,에펠탑 (Eiffel Tower),"에펠탑은 프랑스 파리의 상징적 건축물로, 1889년에 프랑스 혁명 100주년을 맞이하여 파리 만국 박람회를 개최하였는데 이 박람회를 상징할만한 기념물로 에펠 탑을 건축하였다. 박람회가 열린 마르스 광장에 출입 관문에 위치해있다.","목요일 오전 9:30~오후 10:45
금요일 오전 9:30~오후 10:45
토요일 오전 9:30~오후 10:45
일요일 오전 9:30~오후 10:45
월요일 오전 9:30~오후 10:45
화요일 오전 9:30~오후 10:45
수요일 오전 9:30~오후 10:45","Champ de Mars, 5 Av. Anatole France, 75007 Paris, 프랑스"
Forbidden_City_Beijing_China,자금성,"자금성은 베이징의 중심에 있는 명과 청 왕조의 궁궐이다. 자금성의 규모는 궁궐로는 세계 최대의 규모이다. 현재는 황실이 사라져서 중국어권에서는 주로 고궁이라고도 불리며, 1925년 10월 고궁 박물원으로 용도가 변경되어 일반에게 공개되고 있다.","목요일 오전 8:30~오후 4:30
금요일 오전 8:30~오후 4:30
토요일 오전 8:30~오후 4:30
일요일 오전 8:30~오후 4:30
월요일 휴무일
화요일 오전 8:30~오후 4:30
수요일 오전 8:30~오후 4:30","4 Jingshan Front St, Dongcheng, Beijing, 중국 100009"
Gardens_by_the_Bay_Singapore,가든스 바이 더 베이,가든스 바이 더 베이는 싱가포르 마리아나베이에 위치한 공원이다.밤에 하는 공연이 멋지다,정보가 없습니다,"18 Marina Gardens Dr, 싱가포르 018953"
Great_Wall_of_China,만리장성,만리장성은 흉노족 등의 유목 민족의 침입을 막기 위해 중국의 고대 진나라 때 기존의 성곽을 잇고 부족한 부분은 새롭게 축조하여 만든 거대한 성곽이다.,"목요일 오전 9:00~오후 4:30
금요일 오전 9:00~오후 4:30
토요일 오전 9:00~오후 4:30
일요일 오전 9:00~오후 4:30
월요일 오전 9:00~오후 4:30
화요일 오전 9:00~오후 4:30
수요일 오전 9:00~오후 4:30",중국 베이징 시 화이러우 구 邮政编码: 101406
Helix_Bridge_Marina_Bay_Singapore,Helix Bridge,영어에서 번역됨-,정보가 없습니다,싱가포르
HollyWood Sign_Los_Angeles_USA,할리우드사인 (Hollywood Sign),할리우드 사인은 미국 캘리포니아주 로스앤젤레스의 산타모니카 산맥의 리 산 일각에 있는 할리우드힐스 지역에 설치된 유명한 랜드마크이다. 이 사인은 1923년 야외 광고로 설치되었다.,정보가 없습니다,"Los Angeles, CA 90068 미국"
London_Eye_London_England,런던 아이 (lastminute.com London Eye),런던 아이는 런던의 템스강 사우스뱅크에 있는 캔틸레버식 대관람차이다. 2000년 개관하여 밀레니엄 휠이라고도 부른다. 영국의 에서 가장 인기 있는 유료 관광 명소로 매년 300만 명 이상이 방문한다. 런던 아이는 높이 135 m로 회전하는 휠의 지름은 120 m이다.,"목요일 오전 11:00~오후 6:00
금요일 오전 11:00~오후 6:00
토요일 오전 11:00~오후 6:00
일요일 오전 11:00~오후 6:00
월요일 오전 11:00~오후 6:00
화요일 오전 11:00~오후 6:00
수요일 오전 11:00~오후 6:00","Riverside Building, County Hall, London SE1 7PB 영국"
Pantheon_Rome_Italy,판테온 (Pantheon),"판테온은 이탈리아 로마에 위치한 옛 로마 신전으로, 7세기 들어 가톨릭 성당으로 활용되면서 지금까지 전한다. 판테온은 그리스어 ‘판테이온’에서 유래한 말로, “모든 신을 위한 신전”이라는 뜻이다.","목요일 오전 9:00~오후 6:30
금요일 오전 9:00~오후 6:30
토요일 오전 9:00~오후 6:30
일요일 오전 9:00~오후 6:30
월요일 오전 9:00~오후 6:30
화요일 오전 9:00~오후 6:30
수요일 오전 9:00~오후 6:30","Piazza della Rotonda, 00186 Roma RM, 이탈리아"
pyramid_of_Giza_Egypt,이집트 피라미드 (Egyptian pyramids),정보가 없습니다,정보가 없습니다,정보가 없습니다
Rialto_Bridge_Venice_Italy,리알토 다리 (Rialto Bridge),"리알토 다리는 이탈리아 베네치아에 있는 카날 그란데를 연결하는 다리 네 개중 가장 오래된 다리이다. 산마르코 세스티에레 와 산폴로 세스티에레를 연결하는 이 다리는 12세기에 부교로 처음 지어진 이래로 여러 차례 재건되었으며, 오늘날 베네치아의 주요 관광지 중 하나이다.",정보가 없습니다,"Sestiere San Polo, 30125 Venezia VE, 이탈리아"
Statue_of_Liberty_National_Monument_NewYork_USA,스테츄 오브 리버티 국가기념물,"자유의 여신상은 미국 뉴욕 리버티섬에 있는 건축물로, 뉴욕을 상징하는 대표적인 건축물이며, 세계를 밝히는 자유라는 이름으로, 프랑스가 19세기 말에 미국의 독립 100주년을 축하하기 위해 제작한 동상이다.","목요일 오전 9:00~오후 5:00
금요일 오전 9:00~오후 5:00
토요일 오전 9:00~오후 5:00
일요일 오전 9:00~오후 5:00
월요일 오전 9:00~오후 5:00
화요일 오전 9:00~오후 5:00
수요일 오전 9:00~오후 5:00",미국 10004 New York
Sydney_Opera_House_Sydney_Australia,시드니 오페라 하우스 (Sydney Opera House),"시드니 오페라 하우스는 오스트레일리아 뉴사우스웨일스주 시드니에 있는 공연장이다. 1547석의 오페라 극장과 2679석의 음악당을 비롯해 여러 개의 극장, 전시관, 도서관 등이 있다.",정보가 없습니다,"Bennelong Point, Sydney NSW 2000 오스트레일리아"
Taj_Mahal_Agra_India,타지 마할 (Taj Mahal),타지마할은 인도 아그라에 위치한 무굴 제국의 대표적 건축물이다. 무굴 제국의 황제 샤 자한이 자신의 총애하였던 부인 뭄타즈 마할로 알려진 아르주망 바누 베굼을 기리기 위하여 1632년에 무덤 건축을 명하여 2만여 명이 넘는 노동자를 동원하여 건설하였다.,정보가 없습니다,"Dharmapuri, Forest Colony, Tajganj, Agra, 아그라 Uttar Pradesh 282001 인도"
